year,Tm,playoff_wins,world_series_ind,round,hit_numBat,hit_BatAge,hit_RG,hit_G,hit_PA,hit_AB,hit_R_scored,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SB,hit_CS,hit_BB,hit_SO,hit_BA,hit_OBP,hit_SLG,hit_OPS,hit_OPS+,hit_TB,hit_GDP,hit_HBP,hit_SH,hit_SF,hit_IBB,hit_LOB,pitch_numP,pitch_PAge,pitch_RAG,pitch_W,pitch_L,pitch_WL,pitch_ERA,pitch_G,pitch_GS,pitch_GF,pitch_CG,pitch_tSho,pitch_cSho,pitch_SV,pitch_IP,pitch_H,pitch_R_allowed,pitch_ER,pitch_HR,pitch_BB,pitch_IBB,pitch_SO,pitch_HBP,pitch_BK,pitch_WP,pitch_BF,pitch_ERAplus,pitch_FIP,pitch_WHIP,pitch_H9,pitch_HR9,pitch_BB9,pitch_SO9,pitch_SOW,pitch_LOB
2003,SFG,1,0,ds,46,32.1,4.69,161,6204,5456,755,1440,281,29,180,713,53,37,593,980,0.264,0.338,0.425,0.763,99,2319,130,40,76,39,79,1188,21,28.6,3.96,100,61,0.621,3.73,161,161,154,7,10,4,43,1437.1,1349,638,595,136,546,34,1006,43,8,68,6090,113,4.09,1.318,8.4,0.9,3.4,6.3,1.84,1140
2004,ANA,0,0,ds,38,28.9,5.16,162,6296,5675,836,1603,272,37,162,783,143,46,450,942,0.282,0.341,0.429,0.77,102,2435,123,73,56,41,43,1133,16,29,4.53,92,70,0.568,4.28,162,162,160,2,11,2,50,1454.1,1476,734,692,170,502,27,1164,44,7,61,6246,104,4.09,1.36,9.1,1.1,3.1,7.2,2.32,1149
2004,ATL,2,0,ds,39,28.9,4.96,162,6339,5570,803,1503,304,37,178,767,86,32,587,1158,0.27,0.343,0.434,0.777,99,2415,123,59,75,48,51,1230,21,30.1,4.12,96,66,0.593,3.74,162,162,158,4,13,1,48,1450,1475,668,603,154,523,50,1025,27,6,36,6218,115,4.15,1.378,9.2,1,3.2,6.4,1.96,1200
2004,BOS,11,1,wsw,50,30.6,5.86,162,6515,5720,949,1613,373,25,222,912,68,30,659,1189,0.282,0.36,0.472,0.832,110,2702,123,69,12,55,39,1257,26,32.5,4.74,98,64,0.605,4.18,162,162,158,4,12,1,36,1451.1,1430,768,674,159,447,28,1132,92,1,39,6222,116,4.03,1.293,8.9,1,2.8,7,2.53,1100
2004,HOU,4,0,cs,42,31.8,4.96,162,6269,5468,803,1458,294,36,187,756,89,30,590,999,0.267,0.342,0.436,0.778,99,2385,128,61,98,52,54,1175,23,29.6,4.31,92,70,0.568,4.05,162,162,160,2,13,2,47,1443,1416,698,650,174,525,61,1282,68,3,45,6201,107,4.07,1.345,8.8,1.1,3.3,8,2.44,1174
2004,LAD,1,0,ds,43,28.9,4.7,162,6244,5542,761,1450,226,30,203,731,102,41,536,1092,0.262,0.332,0.423,0.755,98,2345,121,62,69,35,45,1152,22,29.5,4.22,93,69,0.574,4.01,162,162,160,2,6,2,51,1453.1,1386,684,647,178,521,47,1066,54,2,43,6155,103,4.36,1.312,8.6,1.1,3.2,6.6,2.05,1111
2004,MIN,1,0,ds,42,27.8,4.81,162,6286,5623,780,1494,310,24,191,735,116,46,513,982,0.266,0.332,0.431,0.763,96,2425,130,64,46,40,42,1110,18,28.2,4.41,92,70,0.568,4.03,162,162,158,4,9,4,48,1476,1523,715,661,167,431,27,1123,54,1,45,6269,117,3.98,1.324,9.3,1,2.6,6.8,2.61,1126
2004,NYY,6,0,cs,43,32.3,5.54,162,6364,5527,897,1483,281,20,242,863,84,33,670,982,0.268,0.353,0.458,0.811,111,2530,157,80,37,50,40,1190,23,32.9,4.99,101,61,0.623,4.69,162,162,161,1,5,0,59,1443.2,1532,808,752,182,445,32,1058,60,4,57,6240,96,4.27,1.369,9.6,1.1,2.8,6.6,2.38,1101
2004,STL,7,0,wsl,37,30.6,5.28,162,6297,5555,855,1544,319,24,214,817,111,47,548,1085,0.278,0.344,0.46,0.804,107,2553,121,51,73,70,64,1156,20,30.1,4.07,105,57,0.648,3.75,162,162,158,4,12,2,57,1453.2,1378,659,605,169,440,24,1041,67,4,42,6104,113,4.17,1.251,8.5,1,2.7,6.4,2.37,1084
2005,ATL,1,0,ds,45,28.1,4.75,162,6186,5486,769,1453,308,37,184,733,92,32,534,1084,0.265,0.333,0.435,0.768,99,2387,146,45,75,46,56,1114,26,28.6,4.16,90,72,0.556,3.98,162,162,154,8,12,3,38,1443.2,1487,674,639,145,520,52,929,32,5,42,6186,107,4.19,1.39,9.3,0.9,3.2,5.8,1.79,1181
