,year,hit_numBat,hit_BatAge,hit_RG,hit_G,hit_PA,hit_AB,hit_R_scored,hit_H,hit_2B,hit_3B,hit_HR,hit_RBI,hit_SB,hit_CS,hit_BB,hit_SO,hit_BA,hit_OBP,hit_SLG,hit_OPS,hit_OPS+,hit_TB,hit_GDP,hit_HBP,hit_SH,hit_SF,hit_IBB,hit_LOB,pitch_numP,pitch_PAge,pitch_RAG,pitch_W,pitch_L,pitch_WL,pitch_ERA,pitch_G,pitch_GS,pitch_GF,pitch_CG,pitch_tSho,pitch_cSho,pitch_SV,pitch_IP,pitch_H,pitch_R_allowed,pitch_ER,pitch_HR,pitch_BB,pitch_IBB,pitch_SO,pitch_HBP,pitch_BK,pitch_WP,pitch_BF,pitch_ERAplus,pitch_FIP,pitch_WHIP,pitch_H9,pitch_HR9,pitch_BB9,pitch_SO9,pitch_SOW,pitch_LOB
year,1.0,0.26895179862674046,-0.25606042088101333,-0.5239648956866578,0.3661621685847989,-0.028214541766865896,0.19249109838176992,-0.4367857050962968,-0.2600080011763275,0.0007774328520058022,-0.009054498436343074,-0.20185631923442357,-0.41820135272289116,-0.19502915017008093,-0.4396248628699435,-0.38523759462471996,0.5989609635848525,-0.459760149340474,-0.5477641807402315,-0.4154683896833139,-0.4936140682568912,-0.06286203706564365,-0.2661921507134691,-0.0630208594010077,0.2013212652503422,-0.22459037484861105,-0.3058896457665939,-0.2789299490617502,-0.16157642810898268,0.4578199718741193,-0.17904376491851853,-0.4866285345866919,0.03464163012729028,0.2170504037100284,-0.11691969936149332,-0.431605460867098,0.3661621685847989,0.3661621685847989,0.5301755476692592,-0.444050321661698,0.3360842799971112,-0.2793402688570826,0.07985762288134773,0.3633823671928085,-0.27721056826047846,-0.4062302472503159,-0.35888999609492345,-0.08063874222278203,-0.3928990651954349,-0.2436780933468351,0.5637929147376564,0.21705315462353045,-0.21499826376555942,0.17048699368045486,-0.02374209755040137,0.019232787603500306,-0.45486393692151966,-0.5515584833857101,-0.42689200406721295,-0.12676229484616267,-0.4557686721034428,0.517953216232539,0.6006404246472216,-0.24136558720717996
hit_numBat,0.26895179862674046,1.0,-0.09631735204237697,-0.08261014265473021,-0.040160917912529244,-0.06327514521133298,-0.031229662953340755,-0.09250184017936601,-0.09661106946088925,0.03482102906477773,-0.047740002230279334,-0.005707165690582924,-0.08927146683037673,-0.07037541039201399,-0.11345841656284864,-0.04115685629811557,0.24782854851914457,-0.10903080282278199,-0.08581120782068342,-0.05389253701662181,-0.06804951569263948,0.07240187606978063,-0.0554886513623086,-0.029494258654506274,0.09702716663381801,-0.1725068185280771,-0.1634264701263107,-0.16520086809658086,-0.04437540995008273,0.7629751562459877,0.09190600039648962,0.11880595390325059,-0.2615300498682943,0.24255925888256102,-0.26544919894498,0.11328653522103453,-0.040160917912529244,-0.040160917912529244,0.142827025820001,-0.234584928601586,-0.008768194159519228,-0.21485518388029995,-0.12896562363060626,-0.048477978589496144,-0.0034917451973402987,0.11039938906288553,0.1060522256754709,0.010261469009644045,-0.027797759966316053,0.0013095603067210591,0.16307063664013693,0.2263176131124507,-0.016241166783181455,0.140609479803123,-0.006345349990787897,-0.27837085488593466,-0.037105038393413226,0.00337501111690911,0.021054832890233875,0.013288190460543107,-0.010718086624541873,0.1858626096844802,0.11647499249227454,-0.07121348292494352
hit_BatAge,-0.25606042088101333,-0.09631735204237697,1.0,0.32202162600627016,0.10030858029445652,0.3131516266587977,0.17750347536844016,0.3436382222626468,0.291642825758008,0.11460771069263964,-0.18002496443280253,0.2503836326409369,0.3526832968855807,-0.014038609108591026,-0.041655048951026494,0.3520790699078056,-0.3347321148189059,0.27682135140464614,0.3753878088910854,0.28767368777579727,0.34133942000638734,0.22499900489564525,0.31336042990968277,0.19570919641095708,0.02436642018874495,0.05336828792415226,0.19842199384898837,0.24777011759664658,0.38790676916338107,-0.07146839100005789,0.5684352815347282,0.22700993470097647,0.1549272666619005,-0.09670608255625958,0.12388102474643434,0.23947912159370013,0.10030858029445652,0.10030858029445652,-0.0127137730823503,0.10099828166703285,-0.08910084217707809,0.01633755331904808,0.001463165302002231,0.06274053173003329,0.1936683153765519,0.2503649414611734,0.25980045786901873,0.19551679736487976,0.18192356589806746,0.04758536438854672,-0.06446837388356023,0.1831167427015616,0.01906551227879357,-0.12337865448660226,0.21802659374962852,-0.1442841292636511,0.18403898577754602,0.20836739703728993,0.16699002917856218,0.1909669221476838,0.1697133088671894,-0.08592454320914479,-0.1606462327384656,0.19668859334014052
hit_RG,-0.5239648956866578,-0.08261014265473021,0.32202162600627016,1.0,-0.09875952479571765,0.4542736112286743,0.22717519340366027,0.971581464691346,0.7125623663445381,0.47732628729141224,-0.0665278266211386,0.6098994897944745,0.9665764175156027,0.18980774213140894,0.13935750951722223,0.6262925473303631,-0.40461841379377994,0.797329113425224,0.899912842727338,0.8958277075141154,0.9520973682110198,0.6510191332699782,0.8390624711218599,0.24598913047834592,0.02520827283383595,-0.23808675366677035,0.51273185470511,0.022931328783857986,0.39686443528975673,-0.05470783920063271,0.39358174704822774,0.7066979771746317,0.24241691042027266,-0.3144184403433509,0.2986330245932193,0.687577929447053,-0.09875952479571765,-0.09875952479571765,-0.14474757413452907,0.12223547781905623,-0.4686645576493804,-0.056591368085076636,-0.20390537526499572,-0.16188641004461463,0.487948023961114,0.6879919400595117,0.6702774157914142,0.4414687744301376,0.3827897903987583,-0.07235152367175922,-0.4366941097087217,0.19706909057889843,-0.1060005711860118,-0.04063636669640094,0.2762850826650971,-0.1948239973613026,0.6222289785045546,0.6171559237744227,0.5513775580886021,0.4359688061728711,0.4103363559908227,-0.4279445217986708,-0.509013273182339,0.22881589003258737
hit_G,0.3661621685847989,-0.040160917912529244,0.10030858029445652,-0.09875952479571765,1.0,0.7798234656019484,0.863048571001355,0.1385490659909136,0.3284829883044068,0.28514043745146467,-0.006606852767740563,0.09342374837027569,0.14230743677907812,-0.09256006571001216,-0.1525636627861887,0.10477076767786726,0.29878485959239054,-0.10483173918494715,-0.10779571856775352,-0.08713306377726125,-0.1000207437318197,-0.009035534193336421,0.28703953334654997,0.16869074680305327,0.20531621980064482,-0.01897042081394792,0.11920941194629073,0.039066745289364276,0.4264354652953595,0.019772226061431347,0.10927467939345704,-0.13817758228675006,0.3570818235123951,0.3131990496640515,-0.03437505904051795,-0.11199865991334737,1.0,1.0,0.716449726346966,-0.18165781965544486,0.14949460944319093,-0.07671941141165348,0.2128178671698517,0.9475353925743122,0.2993454834514859,0.09362032193207406,0.11196405616926897,0.1943376471251611,0.03671224954189122,0.07119469636925886,0.32239007261447294,0.23126717848115558,-0.14519987731852205,-0.0612776783941426,0.781718296860454,0.0028204653968545088,-0.08797397472190535,-0.1606560507327759,-0.09998840893918244,0.05335652692171038,-0.16705511965978428,0.12167292933557233,0.17934553661713076,0.36607836490134504
hit_PA,-0.028214541766865896,-0.06327514521133298,0.3131516266587977,0.4542736112286743,0.7798234656019484,1.0,0.8922993792915501,0.6373142117463535,0.6901187916006469,0.5201529358729388,0.002996647535404433,0.3253767966768339,0.6355693231145806,0.029940658071728233,-0.05217310394242755,0.5594235495490456,0.03840014457691083,0.3530495306281528,0.4724901405537771,0.35711879900303617,0.42610122463910083,0.34731170367911723,0.6691571833625632,0.2900954890655893,0.19890989056511496,-0.10291058367899707,0.3901900876130764,0.15487011990955654,0.7856850883982903,-0.03821807235133588,0.3407380881859574,0.24851351842470285,0.41583056846277294,0.10288092858457575,0.11949696879040374,0.25183131968492484,0.7798234656019484,0.7798234656019484,0.5097055482954244,-0.07259446700358531,-0.12729447692476017,-0.08984858626424223,0.04807506204832041,0.7534443317982197,0.5052348867748799,0.43136801568289546,0.4394486470421405,0.32448929161750395,0.2780523185546112,0.11601131257661162,0.06014246224259558,0.2969969600554228,-0.17315881728003563,-0.10391210010059852,0.8475103243532518,-0.091871422499453,0.22466135560323353,0.19393286834911755,0.18484450069245742,0.19373884527424096,0.11409177366207933,-0.11363582716109877,-0.13473131907678446,0.493034694870945
hit_AB,0.19249109838176992,-0.031229662953340755,0.17750347536844016,0.22717519340366027,0.863048571001355,0.8922993792915501,1.0,0.4307516366420256,0.6852158143082282,0.48147519211140555,-0.0019145246511362232,0.1958142215465521,0.431008713309416,-0.025910613015427214,-0.13258342142602136,0.14918738971818438,0.09036540364877733,0.2806850679141524,0.17355305902862356,0.19813162025633882,0.2007025355140109,0.23620258322757115,0.5805302868023641,0.2657910863031928,0.11707710059468673,-0.19091160606679308,0.24739585200002467,0.04009469292168846,0.5478034282069836,-0.003634985257497508,0.2235106770106791,0.09759979447108055,0.3849591210829108,0.1927711870843075,0.05119213031609447,0.10292012343656029,0.863048571001355,0.863048571001355,0.6306779121271592,-0.1741833259272343,-0.031817279788566674,-0.14496081521036477,0.14659756875780125,0.8594366305456583,0.4532515908387497,0.2984505749940836,0.3107066435012161,0.2763429666781461,0.09906322104442308,0.03155146338640418,0.17660980328936415,0.2876732966208124,-0.1761152387143751,-0.0316012556176199,0.8306894010201533,-0.04501825293403926,0.0685964055843849,0.02159244115484381,0.08988179734432349,0.14258719186183605,-0.08463804919027523,-0.014977633396756406,0.04465696171349098,0.41289999596030447
hit_R_scored,-0.4367857050962968,-0.09250184017936601,0.3436382222626468,0.971581464691346,0.1385490659909136,0.6373142117463535,0.4307516366420256,1.0,0.7871558444308633,0.539435227659888,-0.06693036483600938,0.629127542331616,0.9958408130617418,0.1667527829611341,0.1024257006580251,0.6491531704648862,-0.3322624018546752,0.7683398171877858,0.8700411645875686,0.8698308224039227,0.9231531929031805,0.6453677104163994,0.9026887651618634,0.2834379030352052,0.07154950667525177,-0.24146879095580953,0.5395389437079579,0.03215550699388451,0.4972711791798307,-0.05185620568807995,0.41703641961083104,0.6705483793402072,0.3254689186538512,-0.23841357404161984,0.2884966446324672,0.6574812944111782,0.1385490659909136,0.1385490659909136,0.022350443197377882,0.08324476062161763,-0.4317049188813376,-0.07029581753577627,-0.15517445642706562,0.06321077299805258,0.5559735295840457,0.7071393806770202,0.6936074825857629,0.4850990479575398,0.38958376164266484,-0.05254327530153852,-0.3580544960297829,0.24987521921241235,-0.1396650823762065,-0.056382554614672384,0.4599425424992275,-0.19445975083293401,0.5977992276297007,0.5754255101574577,0.5241518092116962,0.44602529218844444,0.36852690118415277,-0.3965465603515391,-0.46394064130299717,0.3137507657346692
hit_H,-0.2600080011763275,-0.09661106946088925,0.291642825758008,0.7125623663445381,0.3284829883044068,0.6901187916006469,0.6852158143082282,0.7871558444308633,1.0,0.5931228865850385,0.017723330511684093,0.26559114898945785,0.7766935389018389,0.1236211274545439,0.0903805053751591,0.2919222088543487,-0.4148978080835252,0.8908774873495111,0.7159334164705748,0.6412943658783278,0.7099851151137657,0.540500765671493,0.81777591588336,0.4554072903080357,-0.07848259336433215,-0.19004161271291287,0.5169045561139548,0.08342836758184527,0.5451744828922378,-0.08565400263936088,0.3317469860433345,0.4951995602707482,0.2910405513989271,-0.07297702393517087,0.17182560418641135,0.4930561352723855,0.3284829883044068,0.3284829883044068,0.21486826806342957,-0.03081324217932854,-0.3179937275061257,-0.12092748710151892,-0.0497865239920093,0.2723036309364931,0.5616051744196164,0.573906816571644,0.5726217481078493,0.3272535438167442,0.25267710933157206,-0.08213212793737962,-0.2271526214426736,0.21526688118524087,-0.17003131137739855,0.015400484568795593,0.5481669850954477,-0.1441491425073316,0.384254354814543,0.4232447380177975,0.44291484752568544,0.2707083184027035,0.1892897070189245,-0.3067217783291235,-0.3049438286366715,0.34728864238520796
hit_2B,0.0007774328520058022,0.03482102906477773,0.11460771069263964,0.47732628729141224,0.28514043745146467,0.5201529358729388,0.48147519211140555,0.539435227659888,0.5931228865850385,1.0,0.02682465981684794,0.160934268120925,0.5390969135703657,0.03830876962287977,-0.08203856992603645,0.28660846189766537,-0.11973337189102284,0.4833944218807016,0.46233654998700446,0.4855970332093203,0.5053197569844361,0.43256787283435816,0.6035752761556462,0.23448620482586455,0.14022116795436412,-0.2887080108929331,0.4136360740780168,0.0755321792014931,0.4230135065677818,0.055741433757865146,0.22493411831337076,0.25913090400118133,0.21412730320654752,-0.02546636059270498,0.11086427662764924,0.2670743493704697,0.28514043745146467,0.28514043745146467,0.20414449838315918,-0.05159460513136035,-0.14190602898780413,-0.1485649500075579,-0.15064717843625564,0.2340134029726384,0.32393288767947426,0.3250350167168621,0.3303504439638607,0.2053577236166598,0.10833321324390313,-0.1797777378170261,-0.08335439910229181,0.29163289411054766,-0.3269033677768032,-0.02679678577985403,0.37426513872416606,-0.02677807560322364,0.2022334813403409,0.1939635216747064,0.22275172779180902,0.15832293364176897,0.06005527342378713,-0.1432972315204692,-0.13792818240503077,0.23128143758975803
